,Trident,Gecko,WebKit,KHTML,Presto
Basic structure,Basic structure,Basic structure,Basic structure,Basic structure,Basic structure
form,<3.1[IE 4.0],1.0,Yes,Yes,1.0
fieldset,<3.1[IE 4.0],1.0,Yes,Yes,1.0
legend,<3.1[IE 4.0],1.0,Yes,Yes,1.0
Form controls and labels,Form controls and labels,Form controls and labels,Form controls and labels,Form controls and labels,Form controls and labels
button,"<3.1[IE 4.0]
[note 3]",1.0,Yes,Yes,1.0
textarea,<3.1[IE 4.0],1.0,Yes,Yes,1.0
input,<3.1[IE 4.0],1.0,Yes,Yes,1.0
label,<3.1[IE 4.0],1.0,Yes,3.4.2[note 4],1.0
List boxes (combo boxes),List boxes (combo boxes),List boxes (combo boxes),List boxes (combo boxes),List boxes (combo boxes),List boxes (combo boxes)
select,<3.1[IE 4.0],1.0,Yes,Yes,1.0
optgroup,<3.1[IE 4.0],1.0,Yes,Yes,1.0
option,<3.1[IE 4.0],1.0,Yes,Yes,1.0
