Meaning, Mainland China, Mainland China, Hong Kong, Macau, Malaysia /  Singapore, Malaysia /  Singapore, Taiwan
Meaning,Traditional,Simplified,Traditional,Traditional,Traditional,Simplified,Traditional
bus,公交車／大巴 / 公共汽車,公交车／大巴 / 公共汽车,巴士,巴士,巴士,巴士,公車
taxi,"出租車, 的士, 計程車","出租车, 的士, 计程车","的士, 的","的士, 的",德士,德士,"計程車, 小黃"
police,公安/警察,公安/警察,差人／警察,差人／治安警／司警,警察/警衞,警察/警卫,警察 / 員警/警衞
town square,廣場,广场,廣場,前地,廣場,广场,廣場
laser,"激光, 鐳射","激光, 镭射","鐳射, 雷射, 激光","鐳射, 雷射, 激光","激光, laser","激光, laser",雷射
rapid transit,軌道交通／地鐵,轨道交通／地铁,地鐵,地鐵,地鐵,地铁,捷運
light rail,"輕軌, 有軌電車","轻轨, 有轨電車",輕鐵,輕軌,輕軌,轻轨,輕軌
instant noodles,"方便麵, 泡麵","方便面, 泡面","即食麵, 公仔麵","即食麵, 公仔麵","泡麵, 快熟麵","泡面, 快熟面","泡麵, 速食麵, 生力麵"
Standard Chinese,普通話,普通话,國語/普通話,國語,華語,华语,國語
potato,"土豆, 馬鈴薯, 地蛋, 洋芋","土豆, 马铃薯, 地蛋, 洋芋",薯仔,薯仔,馬鈴薯,马铃薯,"馬鈴薯, 洋芋"
pineapple,鳳梨/菠蘿,凤梨/菠萝,"菠蘿, 鳳梨(only in 鳳梨酥)",菠蘿,黃梨,黃梨,"鳳梨, 黄梨(in Hakka language), 菠蘿(in 菠蘿包)"
lorry/truck,卡車(large truck);貨車 (small truck),卡车(large truck),"貨車, 貨櫃車(cargo container truck)","貨車, 貨櫃車(cargo container truck)",羅里,罗里,"貨車, 貨櫃車(cargo container truck)[1]"
tights/pantyhose[2],褲襪/連褲襪,裤袜/连裤袜,襪褲,襪褲,褲襪,裤袜,褲襪
lunch box/bento[2],盒飯,盒饭,飯盒,飯盒,便當,盒饭,"便當, 飯盒[3]"
butter,黃油,黃油,牛油,牛油,牛油,牛油,奶油
air-conditioner,空調,空调,冷氣機,冷氣機,冷氣機,冷气机,冷氣機
paperclip,迴形針/迴紋針,迴形针/回纹针,萬字夾,萬字夾,迴形針,回形针,迴紋針
rock paper scissors,石頭剪子布,石头剪子布,包剪揼,包剪揼,剪刀石頭布,剪刀石头布,剪刀石頭布
plastic bag,袋子,袋子,膠袋,膠袋,紙袋,纸袋,塑膠袋
