Client,First public Date,First public Version,First stable Date,First stable Version,Latest stable release
Alpine,2006-11,0.8,2007 December,1.00,"2017-03-17, 2.24 (October 10, 2020; 20 days ago (2020-10-10)) [±]"
Apple Mail,?,?,?,?,?
Becky! Internet Mail,1996,1,?,?,"2017-08-29, 2.75.01 (April 11, 2020; 6 months ago (2020-04-11) [3]) [±]"
Citadel,1987,?,1988,1.00,"2017-01-15, 906 (January 15, 2017; 3 years ago (2017-01-15)) [±]"
Claws Mail,2001-05,0.4.67,2005-01,1.0.0,"2017-08-29, 3.17.6 (July 13, 2020; 3 months ago (2020-07-13)[4]) [±]"
Cone,2003-05,0.50,2003-05,0.50,"2016-08-03, 1.0 (September 13, 2018; 2 years ago (2018-09-13)) [±]"
Courier,2004-06,3.5,discontinued,discontinued,"2004-06, 3.5 (June 2004) [±]"
Elm,1986,?,1987-03,2,"2005-08-18, 2.5.8 (August 18, 2005; 15 years ago (2005-08-18)) [±]"
eM Client,2007-11,1.0,2007-11,1.0,"2020-06-27, 8.0.2751.0 (June 27, 2020; 4 months ago (2020-06-27)) [±]"
EmailTray,2010-10,2.0,2011-03,3.11,"2012-07-02, 4.0 (July 2, 2012; 8 years ago (2012-07-02)) [±]"
Eudora,1988[5],?,1988[5],?,"2006-10-11, 7.1 (Windows), 6.2.4 (Mac OS) (October 11, 2006; 14 years ago (2006-10-11)) [±]"
Evolution,2000-05-11,0.0,2001-12-03,1.0,"2017-09-13, 3.38.1[6] (8 October 2020; 22 days ago (2020-10-08)) [±]"
Forté Agent,?,?,?,?,"2014-10-20, 8 (October 20, 2014; 6 years ago (2014-10-20)) [±]"
Geary,2012,0.1,2012,0.1,"2017-10-02, 3.36 (March 14, 2020; 7 months ago (2020-03-14)[7]) [±]"
Gnus,1987[8],?,1988-02-01[8],2.0,"2015-04-06,"
GroupWise,?,?,1986,1.0,"2014-04-02, 18.1  (2018; 2 years ago (2018)) [±]"
Hiri,2014-02,0.4,2016-06,1.0,"2017-06-10, 1.0.11 (June 10, 2017; 3 years ago (2017-06-10)) [±]"
i.Scribe / InScribe,1999,1.00,?,?,"2014-08-04, 2.3.16 (June 12, 2019; 16 months ago (2019-06-12)) [±]"
IBM Lotus Notes,1989,1.0,1989,1.0,"2013-03-14, 11.0.1 (March 31, 2020; 6 months ago (2020-03-31)) [±]"
IMP,?,?,1998,1.0,"2016-09-06, 6.2.16 (September 6, 2016; 4 years ago (2016-09-06)) [±]"
K-9 Mail,?,?,?,?,2018-09-02
KMail,1998-10,Alpha,1999-02,1.0.17,"2014-11-11, 4.14.38 (November 7, 2017; 2 years ago (2017-11-07)) [±][9]"
Mailbird,2013-04-01,Public Beta,?,?,"2018-12-19, 2.5.27 (December 19, 2018; 22 months ago (2018-12-19)) [±]"
Mailpile,2011-11,[10],[11],[12],"2019-09-04 1.0.0rc6 (September 4, 2019; 13 months ago (2019-09-04)[13]) [±]"
Microsoft Entourage,?,?,?,?,"2013-03-12, 2008 (12.3.6) (March 12, 2013; 7 years ago (2013-03-12)) [±]"
Microsoft Office Outlook,1997,97,1997,97,"2019-05-09, Office 3652008 (16.0.13127.20508) / September 22, 2020; 38 days ago (2020-09-22)[14]One-time purchase2019 (16.0) / September 24, 2018; 2 years ago (2018-09-24)[15]
 ",Office 365,"2008 (16.0.13127.20508) / September 22, 2020; 38 days ago (2020-09-22)[14]",One-time purchase,"2019 (16.0) / September 24, 2018; 2 years ago (2018-09-24)[15]"
Office 365,"2008 (16.0.13127.20508) / September 22, 2020; 38 days ago (2020-09-22)[14]"
One-time purchase,"2019 (16.0) / September 24, 2018; 2 years ago (2018-09-24)[15]"
Mozilla Thunderbird,2003-07-28,0.1,2004-12-07,1.0,"2019-03-25,
78.4.0[16] (October 20, 2020; 10 days ago (2020-10-20)) [±]"
Mulberry,1996-09-20,1.0,1996-09-20,1.0,"2007-02-21, 4.0.8 (February 21, 2007; 13 years ago (2007-02-21)) [±]"
Mutt,1995,?,?,?,"2017-09-02, 1.14.7[17] (August 29, 2020; 2 months ago (2020-08-29)) [±]"
Netscape Messenger,?,?,?,?,"2007-08-17, 7.2 (August 17, 2007; 13 years ago (2007-08-17)) [±]"
Netscape Messenger 9,2007-11-15,9.0a1,discontinued,discontinued,2007-11-15
nmh / MH,1979,?,?,?,"2012-06-11, 1.5 (June 11, 2012; 8 years ago (2012-06-11)) [±]"
Opera Mail,1996-09,2.1b1,1996-12,2.1,"2016-02-16, 1.0.1044[18] (February 16, 2016; 4 years ago (2016-02-16)) [±]"
Outlook Express,1996,3.0,?,?,"2004-08-25, 6.0 SP3 (May 5, 2008; 12 years ago (2008-05-05)) [±]"
Pegasus Mail,1990,?,1990,?,"2018-06-07, 4.73 (7 June 2018; 2 years ago (2018-06-07)[19]) [±]"
Pine,1992-01-15,2.00,1992-01-15,2.00,"2005-09-28, 4.64 (September 28, 2005; 15 years ago (2005-09-28)) [±]"
Pocomail,1999,?,?,?,"2009-04-06, 4.8 build 4400 discontinued (April 6, 2009; 11 years ago (2009-04-06)) [±]"
RoundCube,2006,0.1-rc1,2014-04-07,1.0.0,"2020-10-09, 1.4.8"
SeaMonkey Mail & Newsgroups,2005-09-15,1.0a,2006-01-30,1.0,"2017-07-31, 2.53.4 (September 22, 2020; 38 days ago (2020-09-22)[20]) [±]"
SquirrelMail,1999-12,0.1,2001-01,1.0,"2011-07-12, 1.4.22 (12 July 2011; 9 years ago (2011-07-12)) [±]"
Sylpheed,2000-01,0.1.0,2004-12,1.0.0,"2017-06-29, 3.7.0 (January 31, 2018; 2 years ago (2018-01-31)) [±]"
The Bat!,1997-03,1.0 Beta,1998-03,1.00 Build 1310,"2018-03-23, 9.2.5 (October 2, 2020; 28 days ago (2020-10-02)) [±]"
Trojitá,2009-08,0.1,2012-12,0.3.90,"2016-06-15, 0.7 (June 15, 2016; 4 years ago (2016-06-15)[21]) [±]"
Turnpike,1996 (circa),1.0,1996 (circa),1.0,"2006-05-23, 6.06 (May 23, 2006; 14 years ago (2006-05-23)) [±]"
Windows Live Mail,2007-11-06,12,2007-11-06,12,"2014-11-04, 2012 (v16.4.3528.0331) (November 4, 2014; 5 years ago (2014-11-04)) [±]"
Windows Mail,?,?,?,?,"2007-01-01,"
YAM,1995,1.0,1995,1.0,"2014-04-18, 2.9p1 (April 18, 2014; 6 years ago (2014-04-18)) [±]"
Zimbra,2005-11,Beta,2006-03,3.5,"2014-12-15, 8.6.0[22] (December 15, 2014; 5 years ago (2014-12-15)) [±]"
